player,position,team,minutes,goals,assists,clean_sheets,yellow_cards,red_cards,bonus,xg,xa,xgi,influence,creativity,threat,ict_index,total_points,value
Moussa Diaby,MID,2,2168,6,11,8,1,0,10,7.4,4.24,11.64,515.4,617.8,675.0,180.6,142,22.5
Nicolò Zaniolo,MID,2,824,2,0,2,7,0,0,2.67,0.7,3.37,146.8,120.1,357.0,61.9,34,6.3
Clément Lenglet,DEF,2,1153,0,1,2,3,0,0,0.81,0.52,1.33,250.6,41.8,103.0,39.5,24,5.3
Morgan Rogers,MID,2,636,3,1,2,3,0,0,1.35,0.33,1.68,177.8,118.4,150.0,44.5,35,7.0
Jaidon Anthony,MID,3,151,0,0,0,1,0,0,0.07,0.02,0.09,9.0,4.6,16.0,3.0,3,0.6
Philip Billing,MID,3,1385,2,3,2,3,1,3,2.53,2.11,4.64,304.2,313.5,267.0,88.3,60,11.8
David Brooks,MID,3,271,1,1,0,1,0,2,2.45,0.47,2.92,88.2,112.4,113.0,31.4,23,4.9
Ryan Christie,MID,3,2908,0,5,8,6,0,5,2.49,5.37,7.86,620.2,780.2,351.0,175.4,90,18.0
Lewis Cook,MID,3,2787,0,3,8,5,1,5,0.42,2.92,3.34,520.2,681.9,67.0,127.2,77,16.0
Lloyd Kelly,DEF,3,1553,0,1,4,2,0,5,0.34,0.77,1.11,279.0,141.8,48.0,46.9,48,10.7
Justin Kluivert,MID,3,1910,7,1,11,5,0,2,5.76,1.68,7.44,362.2,283.2,619.0,126.4,100,21.7
Chris Mepham,DEF,3,613,0,1,1,2,0,0,0.09,0.17,0.26,142.6,40.0,27.0,21.0,16,3.7
Kieffer Moore,FWD,3,100,1,0,0,0,0,2,1.44,0.33,1.77,37.4,27.9,81.0,14.1,14,3.0
Norberto Murara Neto,GK,3,2880,0,0,7,5,0,14,0.0,0.01,0.01,875.2,0.0,0.0,87.5,110,23.9
Dango Ouattara,MID,3,1214,1,2,5,3,0,3,2.65,1.1,3.75,298.4,245.4,332.0,87.8,56,11.9
Joe Rothwell,MID,3,380,0,0,0,0,0,0,0.06,0.22,0.28,45.8,63.9,5.0,11.6,13,2.7
Antoine Semenyo,FWD,3,2099,8,4,8,6,0,14,4.69,2.19,6.87,506.8,411.2,748.0,166.8,107,23.8
Marcos Senesi,DEF,3,2239,4,5,6,13,0,13,1.98,2.27,4.25,735.0,311.2,147.0,119.7,102,23.2
Adam Smith,DEF,3,2148,0,3,8,6,0,4,0.05,1.5,1.55,336.4,296.5,27.0,66.1,80,18.2
Dominic Solanke,FWD,3,3325,19,3,10,3,0,20,19.64,2.11,21.75,902.0,479.6,1348.0,272.7,175,25.4
Marcus Tavernier,MID,3,2118,3,4,8,3,0,5,3.88,4.24,8.12,468.4,649.4,460.0,157.8,89,17.8
Mark Travers,GK,3,360,0,0,2,0,0,2,0.0,0.0,0.0,92.6,0.0,0.0,9.3,19,4.8
Illia Zabarnyi,DEF,3,3330,1,0,8,5,0,3,1.13,0.55,1.68,686.0,111.1,117.0,91.5,84,19.1
Milos Kerkez,DEF,3,1966,0,2,6,4,1,1,1.32,1.06,2.38,310.0,216.5,150.0,67.7,59,13.4
Ionuț Radu,GK,3,180,0,0,0,0,0,0,0.0,0.0,0.0,33.0,0.0,0.0,3.3,2,0.5
Max Aarons,DEF,3,1233,0,1,2,1,0,0,0.04,0.89,0.93,179.6,114.0,27.0,31.8,28,6.4
Alex Scott,MID,3,1003,1,1,3,3,0,3,0.82,1.06,1.88,197.0,294.7,116.0,60.7,41,8.4
Tyler Adams,MID,3,118,0,0,0,0,0,1,0.0,0.03,0.03,24.6,14.1,10.0,4.9,5,1.0
Luis Sinisterra,MID,3,685,2,2,1,0,0,2,2.62,1.03,3.65,221.4,251.4,343.0,81.7,43,7.8
Enes Ünal,FWD,3,317,2,4,1,1,0,3,2.84,0.13,2.97,142.4,58.6,242.0,43.7,40,8.0
Kristoffer Ajer,DEF,4,1826,2,1,5,5,0,3,1.22,2.68,3.9,406.8,166.6,223.0,79.7,68,15.5
Shandon Baptiste,MID,4,222,1,1,0,1,0,0,0.89,0.36,1.25,92.4,54.8,60.0,20.6,19,4.4
Nathan Collins,DEF,4,2649,1,1,7,3,0,8,1.59,0.95,2.54,653.8,151.5,180.0,98.7,84,18.7
Mikkel Damsgaard,MID,4,829,0,4,5,2,0,0,0.76,0.93,1.69,162.6,179.1,103.0,44.7,45,9.4
Mark Flekken,GK,4,3285,0,1,7,3,0,12,0.0,0.14,0.14,921.2,40.3,0.0,96.2,119,25.3
Rico Henry,DEF,4,401,0,1,1,1,0,0,0.07,0.9,0.97,72.8,67.9,17.0,15.7,13,3.1
Aaron Hickey,DEF,4,713,0,0,2,5,0,0,0.2,0.13,0.33,66.6,28.4,37.0,12.9,17,4.0
Vitaly Janelt,MID,4,3054,1,4,9,8,0,1,1.82,3.44,5.26,503.4,562.5,285.0,135.3,93,17.9
Mathias Jensen,MID,4,2201,3,4,9,5,0,10,0.71,4.89,5.6,481.2,689.3,135.0,130.4,98,18.8
Keane Lewis-Potter,MID,4,1428,3,2,6,0,0,1,6.42,1.66,8.07,280.0,203.8,573.0,105.6,73,15.5
Bryan Mbeumo,MID,4,1957,9,7,5,2,0,12,9.7,5.67,15.37,554.2,572.1,576.0,170.1,127,18.7
Ben Mee,DEF,4,1272,2,1,1,1,1,3,1.57,0.78,2.35,334.8,88.2,118.0,54.2,39,8.3
Christian Nørgaard,MID,4,2504,2,1,6,8,0,3,3.61,2.44,6.05,501.8,396.2,316.0,121.8,74,14.2
Frank Onyeka,MID,4,1147,1,2,1,8,0,0,2.09,1.44,3.53,259.0,178.3,189.0,62.6,39,8.0
Ethan Pinnock,DEF,4,2521,2,0,5,1,0,5,2.01,0.83,2.84,653.2,63.4,221.0,94.2,77,17.1
Mads Roerslev Rasmussen,DEF,4,1975,1,2,5,1,0,3,1.05,1.34,2.39,382.0,281.3,94.0,76.3,75,17.0
Kevin Schade,MID,4,327,2,2,1,0,0,2,1.29,0.72,2.01,105.8,58.3,100.0,26.2,33,6.3
Thomas Strakosha,GK,4,135,0,0,0,0,0,0,0.0,0.01,0.01,42.8,0.0,0.0,4.3,4,1.0
Ivan Toney,FWD,4,1449,4,3,3,5,0,4,5.72,1.51,7.23,289.6,206.5,524.0,101.7,57,7.4
Yoane Wissa,FWD,4,2488,12,4,11,7,0,15,10.54,1.82,12.36,592.8,384.0,769.0,173.2,131,23.0
Yegor Yarmoliuk,MID,4,670,0,0,4,2,0,0,0.94,1.0,1.94,98.4,66.9,127.0,29.0,33,7.9
Mathias Jorgensen,DEF,4,1086,1,0,2,4,0,3,0.74,0.55,1.29,216.0,94.0,90.0,40.0,29,6.7
Neal Maupay,FWD,4,1417,6,3,4,8,0,6,6.89,1.99,8.88,325.8,242.5,568.0,112.6,76,15.5
Sergio Reguilón,DEF,4,1524,0,6,5,7,1,14,0.94,2.83,3.77,390.2,436.3,111.0,93.8,74,16.4
Saman Ghoddos,MID,4,728,1,0,0,5,0,0,0.3,1.05,1.35,139.8,163.8,45.0,35.1,26,5.8
Simon Adingra,MID,5,2220,6,1,4,3,0,8,4.19,3.26,7.45,477.6,507.8,751.0,173.4,97,19.4
Facundo Buonanotte,MID,5,1356,3,1,6,7,0,1,2.34,1.16,3.5,254.8,291.3,238.0,78.4,57,12.1
Mahmoud Dahoud,MID,5,449,0,1,1,1,1,0,0.22,0.54,0.76,70.4,127.2,24.0,21.7,14,2.9
Lewis Dunk,DEF,5,2869,3,1,5,6,1,11,3.15,2.24,5.38,823.0,205.4,389.0,141.7,89,17.1
Julio Enciso,MID,5,468,0,2,0,2,0,0,1.38,1.28,2.66,81.0,131.7,157.0,36.9,20,4.0
Pervis Estupiñán,DEF,5,1242,2,3,3,4,0,7,1.0,2.22,3.22,350.8,382.6,156.0,89.0,57,12.1
Evan Ferguson,FWD,5,1356,6,1,2,1,0,5,4.49,0.77,5.26,275.0,106.7,393.0,77.3,69,12.1
Billy Gilmour,MID,5,2116,0,3,6,8,1,4,0.98,2.56,3.54,291.4,481.5,104.0,87.7,61,12.7
Pascal Groß,MID,5,3112,4,11,7,6,0,29,6.4,8.89,15.29,988.6,1674.9,434.0,309.9,153,25.1
João Pedro Junqueira de Jesus,FWD,5,2037,9,3,5,2,0,12,12.01,4.64,16.65,622.4,578.8,932.0,213.4,104,20.0
Adam Lallana,MID,5,839,0,1,2,2,0,0,0.83,1.6,2.43,83.0,248.7,130.0,45.8,30,6.1
Tariq Lamptey,DEF,5,908,0,3,1,3,0,0,0.34,0.9,1.24,144.6,173.7,60.0,37.6,31,7.9
Solly March,MID,5,555,3,1,2,1,0,6,2.1,0.97,3.07,197.4,126.5,139.0,46.4,39,6.4
James Milner,MID,5,770,0,2,4,3,0,0,0.29,2.18,2.47,152.8,253.5,61.0,46.8,28,5.8
Kaoru Mitoma,MID,5,1485,3,7,1,4,0,7,3.49,3.56,7.05,327.6,375.1,636.0,134.0,74,11.6
Jakub Moder,MID,5,608,0,0,1,2,0,0,0.78,0.67,1.45,87.2,82.3,84.0,25.4,21,4.8
Jason Steele,GK,5,1530,0,0,2,0,0,5,0.0,0.0,0.0,382.2,0.1,0.0,38.2,42,10.5
Jan Paul van Hecke,DEF,5,2368,0,0,5,4,0,3,1.42,0.93,2.35,631.8,176.4,175.0,98.5,61,15.2
Joël Veltman,DEF,5,1579,1,1,3,4,0,0,0.46,0.53,0.99,320.8,97.8,98.0,51.8,49,11.4
Bart Verbruggen,GK,5,1890,0,0,4,3,0,7,0.0,0.0,0.0,541.4,1.0,0.0,54.3,68,15.5
Adam Webster,DEF,5,1142,0,0,2,2,0,2,0.5,0.33,0.83,252.2,89.3,54.0,39.7,26,6.2
Danny Welbeck,FWD,5,1687,5,4,8,4,0,5,5.09,1.46,6.55,326.2,320.9,492.0,114.0,79,13.9
