player,position,team,minutes,goals,assists,clean_sheets,yellow_cards,red_cards,bonus,xg,xa,xgi,influence,creativity,threat,ict_index,total_points,value
Ryan Sessegnon,DEF,9,574,4,2,1,1,0,5,1.64,1.12,2.76,284.0,158.8,227.0,67.1,57,13.6
Jorge Cuenca Barreno,DEF,9,349,0,0,0,0,0,0,0.02,0.01,0.03,81.2,2.3,4.0,8.6,9,2.0
Josh King,MID,9,126,0,0,1,0,0,0,0.28,0.67,0.95,26.2,45.7,38.0,11.2,10,2.3
Sander Berge,MID,9,2221,0,0,4,6,0,2,0.45,0.63,1.08,314.4,285.7,51.0,65.1,53,10.6
Willian Borges da Silva,MID,9,251,0,0,1,0,0,0,0.28,0.72,1.0,36.2,133.3,25.0,19.5,13,2.6
Julio Enciso,MID,10,1155,2,3,2,3,0,5,2.82,1.32,4.14,250.8,268.9,362.0,87.7,59,10.9
Ali Al-Hamadi,FWD,10,125,0,0,0,3,0,0,0.35,0.04,0.39,5.6,25.7,32.0,6.0,8,1.7
Nathan Broadhead,MID,10,690,2,0,2,1,0,1,1.74,1.05,2.79,148.2,111.0,155.0,41.4,37,7.6
Cameron Burgess,DEF,10,1540,0,2,0,0,0,0,1.08,0.34,1.42,422.0,87.2,103.0,61.4,26,6.8
Wes Burns,MID,10,922,0,1,1,1,0,0,0.5,1.17,1.67,111.6,148.5,66.0,31.8,30,6.4
Conor Chaplin,MID,10,845,1,2,1,2,0,0,1.52,0.61,2.13,106.6,152.1,108.0,36.1,41,8.0
Harry Clarke,DEF,10,377,0,0,0,1,1,0,0.08,0.1,0.18,48.2,24.4,35.0,10.5,1,0.2
Leif Davis,DEF,10,2742,1,2,2,5,1,5,0.98,4.74,5.72,486.8,865.4,145.0,149.6,52,12.4
Liam Delap,FWD,10,2587,12,2,3,12,0,22,9.44,1.38,10.82,513.0,290.5,783.0,157.5,132,23.6
Jacob Greaves,DEF,10,2205,1,0,2,5,0,0,1.31,0.21,1.52,592.8,77.2,157.0,82.7,37,9.7
George Hirst,FWD,10,645,3,1,0,3,0,3,2.14,0.24,2.38,146.4,64.5,207.0,41.2,46,8.5
Omari Giraud-Hutchinson,MID,10,2585,3,3,3,5,0,6,2.93,2.46,5.39,383.2,487.5,443.0,131.5,88,16.9
Ben Johnson,DEF,10,1346,1,2,0,3,1,2,1.06,0.83,1.89,276.6,177.2,92.0,54.6,30,7.9
Massimo Luongo,MID,10,195,0,0,0,0,0,0,0.0,0.01,0.01,34.4,6.6,4.0,4.6,13,3.0
Sam Morsy,MID,10,2749,1,1,2,10,0,5,0.45,1.51,1.96,417.0,374.0,47.0,83.7,67,14.0
Jack Taylor,MID,10,837,1,0,0,4,0,1,0.75,0.77,1.52,142.0,100.5,84.0,32.4,38,7.9
Axel Tuanzebe,DEF,10,1710,0,1,1,3,1,0,0.21,0.26,0.47,284.4,93.4,25.0,40.1,27,6.9
Christian Walton,GK,10,630,0,0,1,0,0,2,0.0,0.0,0.0,163.2,10.0,0.0,17.3,16,3.7
Luke Woolfenden,DEF,10,1187,0,0,1,2,0,0,0.03,0.02,0.05,258.4,6.7,8.0,27.5,18,4.6
Kalvin Phillips,MID,10,1231,0,0,1,4,1,0,0.45,0.46,0.91,181.8,116.2,41.0,33.8,27,5.6
Arijanet Muric,GK,10,1620,0,0,1,1,0,5,0.0,0.01,0.01,531.2,0.0,0.0,53.1,49,11.1
Jaden Philogene,MID,10,796,2,0,2,3,1,3,2.43,0.34,2.77,159.0,98.2,190.0,43.9,37,7.0
Conor Townsend,DEF,10,334,0,1,0,1,0,0,0.03,0.24,0.27,110.2,56.0,13.0,18.0,11,2.8
Sam Szmodics,MID,10,988,4,0,2,2,0,2,3.44,0.45,3.89,216.0,93.0,263.0,56.7,54,9.5
Jens Cajuste,MID,10,1960,1,1,1,2,0,2,0.68,0.73,1.41,284.0,209.2,59.0,54.9,63,14.0
Dara O'Shea,DEF,10,3122,0,2,2,6,0,1,1.29,0.67,1.96,862.8,59.9,195.0,111.6,49,12.9
Jack Clarke,MID,10,1161,0,4,1,2,0,0,1.17,1.11,2.28,230.8,341.7,151.0,72.2,53,9.8
Chiedozie Ogbene,MID,10,237,0,0,0,0,0,0,0.0,0.05,0.05,22.8,30.2,12.0,6.4,7,1.5
Ben Godfrey,DEF,10,158,0,0,0,1,0,0,0.0,0.02,0.02,15.0,2.3,2.0,1.9,-1,-0.2
Alex Palmer,GK,10,1170,0,0,0,2,0,0,0.0,0.0,0.0,356.8,10.0,0.0,36.6,22,4.9
Facundo Buonanotte,MID,11,1508,5,2,2,8,0,6,4.01,2.29,6.3,415.8,415.8,318.0,114.7,75,16.7
Jordan Ayew,MID,11,1649,5,0,4,6,0,3,3.72,1.5,5.22,304.4,316.9,311.0,93.4,75,14.7
Odsonne Edouard,FWD,11,141,0,0,0,0,0,0,0.39,0.07,0.46,5.0,25.0,50.0,8.0,7,1.4
Boubakary Soumaré,MID,11,2165,0,0,1,8,0,0,0.29,0.94,1.23,294.2,261.8,47.0,60.4,48,10.9
Hamza Choudhury,MID,11,129,0,0,0,0,0,0,0.0,0.19,0.19,33.8,30.4,6.0,7.0,4,0.9
Conor Coady,DEF,11,1712,1,0,2,3,0,3,0.52,0.48,1.0,378.8,33.0,62.0,47.5,39,9.8
Patson Daka,FWD,11,717,1,0,1,0,0,2,1.25,0.06,1.31,86.0,41.7,148.0,27.0,34,7.1
Bobby De Cordova-Reid,MID,11,734,1,4,1,2,0,2,0.79,0.14,0.93,102.2,84.4,72.0,26.0,48,9.2
Wout Faes,DEF,11,2812,1,0,3,4,0,2,1.52,0.4,1.92,678.0,68.5,121.0,86.9,55,14.5
Mads Hermansen,GK,11,2385,0,0,1,1,0,1,0.0,0.02,0.02,827.0,0.2,0.0,82.8,63,14.3
James Justin,DEF,11,2912,2,2,3,6,0,6,1.47,0.8,2.27,615.2,258.5,202.0,107.8,70,17.1
Victor Kristiansen,DEF,11,2481,0,1,1,1,0,0,0.13,1.74,1.87,519.4,358.6,40.0,91.6,34,7.7
Stephy Mavididi,MID,11,1606,4,1,1,2,0,5,1.85,3.25,5.1,339.2,375.3,302.0,101.5,72,14.4
Kasey McAteer,MID,11,846,1,1,3,3,0,0,0.99,0.63,1.62,147.2,132.5,184.0,46.3,35,7.4
Wilfred Ndidi,MID,11,2325,0,5,3,8,0,1,2.12,1.53,3.65,546.4,302.2,280.0,112.8,64,13.1
Caleb Okoli,DEF,11,1122,1,0,1,4,0,1,0.62,0.17,0.79,318.6,15.2,73.0,40.7,27,6.8
Ricardo Barbosa Pereira,DEF,11,382,0,0,0,1,0,0,0.09,0.07,0.16,67.8,18.7,19.0,10.5,10,2.4
Jakub Stolarczyk,GK,11,900,0,0,2,1,0,0,0.0,0.0,0.0,228.4,0.0,0.0,22.8,25,6.2
Luke Thomas,DEF,11,1109,0,0,3,3,0,0,0.36,0.49,0.85,226.4,144.5,34.0,40.4,27,6.9
Jamie Vardy,FWD,11,2825,9,5,4,5,0,18,11.23,2.55,13.78,490.8,270.8,742.0,150.0,128,23.7
Jannik Vestergaard,DEF,11,1390,0,0,0,5,0,0,0.11,0.08,0.19,321.0,46.6,53.0,42.4,11,2.8
Danny Ward,GK,11,135,0,0,0,0,0,0,0.0,0.0,0.0,35.4,0.0,0.0,3.6,2,0.5
Harry Winks,MID,11,1536,0,2,0,4,0,0,0.23,1.53,1.76,272.8,319.6,37.0,63.2,40,9.3
Oliver Skipp,MID,11,1118,0,0,3,8,0,0,0.37,0.32,0.69,119.4,146.0,35.0,29.9,27,5.7
Abdul Fatawu,MID,11,576,0,2,0,0,0,3,0.41,1.42,1.83,147.6,104.3,148.0,40.1,26,5.1
Bilal El Khannouss,MID,11,2179,2,4,3,4,0,6,1.29,2.85,4.14,381.6,634.1,191.0,120.5,83,17.3
Woyo Coulibaly,DEF,11,107,0,0,0,1,0,0,0.04,0.04,0.08,24.4,3.4,24.0,5.2,1,0.2
Jeremy Monga,MID,11,105,0,0,0,0,0,0,0.17,0.02,0.19,20.6,12.6,19.0,5.1,7,1.6
Alisson Ramses Becker,GK,12,2508,0,0,10,0,0,9,0.0,0.2,0.2,628.8,13.0,0.0,64.0,112,20.4
Trent Alexander-Arnold,DEF,12,2362,3,7,12,5,0,13,1.81,7.2,9.01,723.8,833.7,268.0,182.4,148,20.6
Conor Bradley,DEF,12,744,0,2,3,4,0,3,0.7,1.43,2.13,156.2,110.5,162.0,42.8,41,8.7
Darwin Núñez Ribeiro,FWD,12,1113,5,3,2,8,0,6,5.76,0.51,6.27,263.8,151.6,404.0,81.2,66,9.4
